DateTime,High,Open,Close,Low,Volume,MA7,RSI14
27/09/2016 20:00:00,542.65,542.45,540.33,540.32,19.15496859,541.83857142857142857142857143,45.68
27/09/2016 21:00:00,541.55,540.32,541.46,539.59,49.85224677,541.82428571428571428571428571,50.97
27/09/2016 22:00:00,542.28,541.46,542.18,541.1,12.2258,541.91142857142857142857142857,54.04
27/09/2016 23:00:00,544.98,542.25,544.98,542.25,4.561761,542.29714285714285714285714286,63.59
28/09/2016 00:00:00,544.96,544.96,544.53,544.13,2.64144466,542.51,61.38
28/09/2016 01:00:00,544.98,544.54,544.89,544.54,3.699587,542.96,62.50
28/09/2016 02:00:00,544.96,544.89,544.86,544.84,2.72,543.31857142857142857142857143,62.34
28/09/2016 03:00:00,544.87,544.87,544.12,544.12,2.0699,543.86,58.31
28/09/2016 04:00:00,544.12,544.12,543.77,543.39,3.40708288,544.19,56.45
28/09/2016 05:00:00,543.68,543.68,542.47,542.38,18.194297,544.23142857142857142857142857,50.08
28/09/2016 06:00:00,542.52,542.47,542.03,542.03,10.94,543.81,48.10
28/09/2016 07:00:00,542.5,542.04,541.98,541.71,12.1212,543.44571428571428571428571429,47.86
28/09/2016 08:00:00,543.91,541.98,543.4,541.87,28.909033,543.23285714285714285714285714,54.56
28/09/2016 09:00:00,543.39,543.39,542.97,542.24,14.82,542.96285714285714285714285714,52.37
28/09/2016 10:00:00,543,542.97,542.81,542.4,15.07,542.77571428571428571428571429,51.54
28/09/2016 11:00:00,542.85,542.81,542.15,541.6,17.46293,542.54428571428571428571428571,48.15
28/09/2016 12:00:00,542.15,542.15,541.95,541.72,11.08,542.47,47.13
28/09/2016 13:00:00,542.15,541.92,541.85,539.07,30.719047,542.44428571428571428571428571,46.61
28/09/2016 14:00:00,542.15,541.86,542.15,541.86,9.44,542.46857142857142857142857143,48.47
28/09/2016 15:00:00,542.15,542.15,542.15,541.77,20.36474941,542.29,48.47
28/09/2016 16:00:00,542.99,542.15,542.2,542.14,23.747061,542.18,48.79
28/09/2016 17:00:00,543.76,542.19,542.26,540.94,24.05,542.10142857142857142857142857,49.20
28/09/2016 18:00:00,544.32,542.27,543.56,542.17,22.0217,542.30285714285714285714285714,57.17
28/09/2016 19:00:00,544.3,543.55,544.01,543.51,7.594,542.59714285714285714285714286,59.54
28/09/2016 20:00:00,544,544,540.8,539.33,47.228523,542.44714285714285714285714286,41.79
28/09/2016 21:00:00,543.33,540.82,543.33,540.82,10.66997514,542.61571428571428571428571429,53.55
28/09/2016 22:00:00,543.3,543.21,542.54,542.1,10.6004,542.67142857142857142857142857,50.14
28/09/2016 23:00:00,542.54,542.54,542.2,542.2,2.15,542.67142857142857142857142857,48.71
29/09/2016 00:00:00,542.2,542.2,542.11,542.11,2.008,542.65,48.31
29/09/2016 01:00:00,542.25,542.11,541.87,541.87,0.89,542.40857142857142857142857143,47.21
29/09/2016 02:00:00,541.87,541.87,541.78,541.78,4.35,542.09,46.79
29/09/2016 03:00:00,541.77,541.77,541.74,541.74,0.58,542.22428571428571428571428571,46.58
29/09/2016 04:00:00,541.74,541.74,541.62,541.62,4.41,541.98,45.94
29/09/2016 05:00:00,541.61,541.61,540.2,539.99,9.169732,541.64571428571428571428571429,39.07
29/09/2016 06:00:00,540.71,540.2,540.63,539.71,4.79,541.42142857142857142857142857,41.90
29/09/2016 07:00:00,544.14,540.63,541.71,540.63,31.577218,541.36428571428571428571428571,48.39
29/09/2016 08:00:00,543.1,541.71,542.91,540,17.40780181,541.51285714285714285714285714,54.48
29/09/2016 09:00:00,543.28,542.92,543.04,542.84,12.27,541.69285714285714285714285714,55.10
29/09/2016 10:00:00,543.04,543.04,542.36,541.44,30.13859,541.78142857142857142857142857,51.18
29/09/2016 11:00:00,543.03,542.36,542.83,542.02,16.4,541.95428571428571428571428571,53.64
29/09/2016 12:00:00,543.03,542.93,542.89,541.78,21.97668,542.33857142857142857142857143,53.95
29/09/2016 13:00:00,544.31,542.8,543.84,542.8,11.56,542.79714285714285714285714286,58.77
